FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
1,,Falcon 9,6515.048089171974,LEO,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B0004,-80.577366,28.5618571
2,,Falcon 9,6515.048089171974,LEO,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B0005,-80.577366,28.5618571
3,,Falcon 9,6515.048089171974,LEO,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B0006,-80.577366,28.5618571
4,,Falcon 9,525.0,LEO,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B0007,-80.577366,28.5618571
5,,Falcon 9,400.0,ISS,VAFB SLC 4E,False Ocean,1.0,False,False,False,,1.0,0.0,B1003,-120.610829,34.632093
6,,Falcon 9,400.0,LEO,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B1004,-80.577366,28.5618571
7,,Falcon 9,677.0,ISS,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B1005,-80.577366,28.5618571
8,,Falcon 9,500.0,PO,CCSFS SLC 40,True Ocean,1.0,False,False,True,,1.0,0.0,B1006,-80.577366,28.5618571
9,,Falcon 9,3170.0,GTO,CCSFS SLC 40,True Ocean,1.0,False,False,True,,1.0,0.0,B1007,-80.577366,28.5618571
10,,Falcon 9,3325.0,GTO,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B1008,-80.577366,28.5618571
11,,Falcon 9,2296.0,ISS,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B1011,-80.577366,28.5618571
12,,Falcon 9,1316.0,LEO,CCSFS SLC 40,False Ocean,1.0,False,False,False,,1.0,0.0,B1010,-80.577366,28.5618571
13,,Falcon 9,4535.0,GTO,CCSFS SLC 40,False ASDS,1.0,True,False,True,5e9e3032383ecb761634e7cb,1.0,0.0,B1012,-80.577366,28.5618571
14,,Falcon 9,4428.0,GTO,CCSFS SLC 40,True Ocean,1.0,True,False,True,,1.0,0.0,B1013,-80.577366,28.5618571
15,,Falcon 9,2216.0,ISS,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B1014,-80.577366,28.5618571
16,,Falcon 9,2395.0,ISS,CCSFS SLC 40,False ASDS,1.0,True,False,True,5e9e3032383ecb761634e7cb,1.0,0.0,B1015,-80.577366,28.5618571
17,,Falcon 9,570.0,ES-L1,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B1016,-80.577366,28.5618571
18,,Falcon 9,1954.0,GTO,CCSFS SLC 40,None ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0.0,B1018,-80.577366,28.5618571
19,,Falcon 9,2205.0,GTO,CCSFS SLC 40,True RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,1.0,0.0,B1019,-80.577366,28.5618571
20,,Falcon 9,1898.0,ISS,VAFB SLC 4E,False ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,1.0,0.0,B1017,-120.610829,34.632093
21,,Falcon 9,4707.0,GTO,CCSFS SLC 40,False ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0.0,B1020,-80.577366,28.5618571
22,,Falcon 9,2477.0,ISS,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1.0,B1021,-80.577366,28.5618571
